project,date,arr. time,dep. time,sch. dur.,cancelled,cancelled on time,cancelled on,scan duration,charged time,direct scan fee
20230093H,02/03/25,1100,1300,120,False,,-,120.0,2.0,544.0
20230093H,02/03/25,1430,1630,120,False,,-,120.0,2.0,544.0
20230093H,02/04/25,1011,1245,150,False,,-,165.0,2.75,748.0
20230093H,02/04/25,1345,1615,150,False,,-,150.0,2.5,680.0
20230093H,02/05/25,1015,1245,150,False,,-,150.0,2.5,680.0
20230093H,02/05/25,1345,1615,150,False,,-,150.0,2.5,680.0
20230093H,02/06/25,1015,1245,150,False,,-,150.0,2.5,680.0
20230093H,02/06/25,1345,1615,150,False,,-,150.0,2.5,680.0
20230093H,02/07/25,1030,1145,75,False,,-,75.0,1.25,340.0
20230093H,02/07/25,1345,1500,75,False,,-,75.0,1.25,340.0
20240100H,02/10/25,920,1925,480,False,,-,615.0,8.0,2176.0
20240100H,02/11/25,1025,1123,60,False,,-,60.0,1.0,272.0
20240100H,02/12/25,900,1900,480,False,,-,600.0,8.0,2176.0
20240100H,02/13/25,944,1044,60,False,,-,60.0,1.0,272.0
20240100H,02/14/25,900,1900,480,False,,-,600.0,8.0,2176.0
20240100H,02/15/25,945,1045,60,False,,-,60.0,1.0,272.0
20240100H,02/17/25,915,1930,480,False,,-,615.0,8.0,2176.0
20240100H,02/18/25,1030,1130,60,False,,-,60.0,1.0,272.0
2022-0005,02/18/25,1430,1645,90,False,,-,135.0,2.25,612.0
20240100H,02/19/25,900,1900,480,False,,-,600.0,8.0,2176.0
20240100H,02/20/25,930,1030,60,False,,-,60.0,1.0,272.0
20240100H,02/21/25,900,1900,480,False,,-,600.0,8.0,2176.0
20240100H,02/22/25,1000,1100,60,False,,-,60.0,1.0,272.0
20240100H,02/24/25,0,0,480,True,True,2/24 @ 0745,0.0,0.0,0.0
20240100H,02/25/25,0,0,120,True,True,2/24 @ 0745,0.0,0.0,0.0
2022-0005,02/25/25,1430,1630,90,False,,-,120.0,2.0,544.0
20240100H,02/26/25,830,1830,480,False,,-,600.0,8.0,2176.0
20240100H,02/27/25,935,1045,120,False,,-,75.0,2.0,544.0
20240100H,02/28/25,0,0,480,True,True,2/26 @ 1300,0.0,0.0,0.0
