project,date,arr. time,dep. time,sch. dur.,cancelled,cancelled on time,cancelled on
20240100H,03/03/25,0800,1900,480,FALSE,,-
20240100H,03/04/25,0948,1042,60,FALSE,,-
20240100H,03/05/25,0845,1100,480,TRUE,TRUE,3/5 @ 1100 due to AE
20240100H,03/06/25,0,0,60,TRUE,TRUE,3/5 @ 1100 due to AE
20240100H,03/07/25,0,0,480,TRUE,TRUE,3/5 @ 1100 due to AE
20240100H,03/08/25,0,0,60,TRUE,TRUE,3/5 @ 1100 due to AE
20240100H,03/10/25,0930,1615,480,FALSE,,-
20240100H,03/11/25,1030,1130,60,FALSE,,-
20240100H,03/14/25,0845,1845,480,FALSE,,-
20240100H,03/15/25,0945,1045,60,FALSE,,-
2022-0005,03/17/25,0800,1000,105,FALSE,,-
2022-0005,03/17/25,1130,1330,105,FALSE,,-
2022-0010,03/18/25,1430,1630,90,FALSE,,-
2022-0005,03/19/25,0,0,105,TRUE,TRUE,3/19 @ 0815 no show
2024-663,03/19/25,1050,1155,60,FALSE,,-
2022-0005,03/19/25,1230,1645,105,FALSE,,-
2022-0010,03/21/25,0915,1100,105,FALSE,,-
2022-0005,03/21/25,1415,1545,105,FALSE,,-
2022-0010,03/24/25,1000,1140,90,FALSE,,-
2022-0010,03/24/25,1445,1615,105,FALSE,,-
2022-0005,03/25/25,0715,0900,90,FALSE,,-
2022-0005,03/25/25,1415,1600,90,FALSE,,-
2022-0010,03/26/25,1415,1530,105,FALSE,,-
20240100H,03/28/25,0905,1915,480,FALSE,,-
20240100H,03/29/25,1010,1110,60,FALSE,,-
20240100H,03/31/25,0900,1045,480,FALSE,,-
